gen	arc	test_pcc
8	0-3|0-3|7-11|4-10|10-15|9-12|19-24	0.6527217662844007
8	0-3|0-3|7-15|3-8|7-10|7-13|19-31	0.6982552894300615
8	0-3|0-3|8-12|7-14|9-14|7-11|0-5	0.5095044284008228
8	0-3|0-3|5-9|9-12|7-15|12-14|21-25	0.6651610299138019
8	0-3|0-3|7-13|3-5|7-9|8-12|7-12	0.4784003403048372
8	0-3|0-3|4-7|10-17|15-18|16-21|4-8	0.5497560954026267
8	0-3|0-3|9-11|10-13|8-10|14-21|17-21	0.5828046596623823
8	0-3|0-3|3-14|8-11|7-15|16-24|14-17	0.6300292945395267
8	0-3|0-3|5-9|4-13|10-17|10-16|4-18	0.6453955826065877
9	0-3|0-3|9-11|3-9|7-13|10-13|4-10	0.4961138848142564
9	0-3|0-3|7-12|3-5|17-20|7-14|4-9	0.5340723704324626
9	0-3|0-3|4-9|5-10|14-23|14-15|19-24	0.6764717242500238
9	0-3|0-3|5-16|10-16|15-21|7-10|21-29	0.6948199534268618
9	0-3|0-3|6-11|6-9|9-18|12-22|21-27	0.641212934896877
9	0-3|0-3|7-12|9-19|14-23|14-16|16-27	0.6679018318293022
9	0-3|0-3|7-14|10-15|12-18|8-14|3-9	0.6666682328842726
9	0-3|0-3|4-8|6-12|12-18|18-22|0-4	0.5186294957128461
9	0-3|0-3|7-11|8-13|10-16|16-21|12-17	0.5691216086155011
9	0-3|0-3|9-16|5-8|7-14|16-24|18-21	0.652168365979083
10	0-3|0-3|4-12|7-11|9-17|16-24|22-28	0.687995550676413
10	0-3|0-3|7-13|6-12|9-15|9-12|16-22	0.6621813045051498
10	0-3|0-3|3-14|7-13|17-22|10-12|0-4	0.6706021173086774
10	0-3|0-3|10-16|6-8|14-21|9-12|21-27	0.6658393479601301
10	0-3|0-3|7-12|8-16|14-17|10-14|5-9	0.5548284380629384
10	0-3|0-3|3-8|10-17|10-16|16-22|15-18	0.6517041868432769
10	0-3|0-3|5-12|10-20|18-23|14-23|19-28	0.6782303489378877
10	0-3|0-3|9-17|9-15|9-19|18-22|21-30	0.734912617882568
10	0-3|0-3|6-9|3-11|14-20|12-16|21-28	0.6626562964850136
10	0-3|0-3|3-8|5-14|12-20|9-17|18-27	0.7154751296678057
11	0-3|0-3|7-13|5-10|18-24|17-21|21-26	0.6097586752794347
11	0-3|0-3|5-13|5-10|10-23|7-12|21-28	0.6787572887589515
11	0-3|0-3|3-6|3-7|9-21|10-19|9-22	0.6377565681413224
11	0-3|0-3|6-12|8-13|14-21|18-25|12-17	0.698005497601976
11	0-3|0-3|3-17|7-9|14-21|13-18|16-24	0.7192795858806085
11	0-3|0-3|10-17|10-13|17-26|7-11|1-7	0.6355436387268195
11	0-3|0-3|4-12|3-6|9-13|10-12|15-18	0.5886052142635723
11	0-3|0-3|3-5|9-19|10-22|18-22|10-20	0.5751051019784041
11	0-3|0-3|7-14|6-9|10-16|9-12|16-27	0.7015079424928293
11	0-3|0-3|4-8|7-9|9-13|7-12|12-22	0.6729147785245607
12	0-3|0-3|3-10|9-15|15-23|9-14|21-33	0.6681848810455561
12	0-3|0-3|6-13|5-7|14-24|7-10|19-21	0.6195865095043057
12	0-3|0-3|7-10|5-9|17-23|16-22|21-26	0.6490401912978008
12	0-3|0-3|9-13|4-8|18-29|12-17|0-8	0.6354183994104006
12	0-3|0-3|7-16|3-10|14-16|7-12|21-28	0.6657839827939878
12	0-3|0-3|3-7|9-15|10-15|10-13|9-14	0.5366998423366605
12	0-3|0-3|6-10|10-14|18-24|9-14|0-9	0.58812983672932
12	0-3|0-3|4-9|7-11|17-25|7-11|21-26	0.6608582155718046
12	0-3|0-3|4-11|6-19|8-15|14-22|2-7	0.6067604998674725
12	0-3|0-3|7-10|6-15|12-17|17-26|3-9	0.5380124957147003
13	0-3|0-3|7-15|6-16|10-14|9-12|19-28	0.679257023990061
13	0-3|0-3|8-11|6-9|14-18|7-12|0-8	0.5489567240680764
13	0-3|0-3|4-10|5-10|14-17|18-21|0-7	0.5483684874747728
13	0-3|0-3|7-10|7-9|9-11|7-13|19-29	0.7070278269460433
13	0-3|0-3|6-11|6-12|13-20|16-18|21-29	0.6211933838805564
13	0-3|0-3|5-9|6-15|14-19|7-11|16-18	0.5674726484503584
13	0-3|0-3|6-10|7-11|9-21|7-12|21-30	0.6770129774741533
13	0-3|0-3|7-16|3-10|12-18|7-14|19-25	0.6924817072727518
13	0-3|0-3|5-7|10-15|10-16|13-21|21-32	0.657519011856003
13	0-3|0-3|3-10|9-16|9-13|9-12|16-21	0.6315506767112677
14	0-3|0-3|7-10|4-12|10-24|14-21|0-7	0.5344815420702974
14	0-3|0-3|5-13|4-5|15-23|16-19|15-23	0.6974145097021881
14	0-3|0-3|9-12|7-12|14-21|13-20|0-7	0.6322480883700726
14	0-3|0-3|3-8|6-10|17-21|12-21|1-6	0.4489407934939443
14	0-3|0-3|7-11|3-8|9-14|18-26|0-8	0.5177123048408775
14	0-3|0-3|5-9|3-8|14-18|10-18|0-8	0.556340073317505
14	0-3|0-3|6-11|7-13|9-14|7-10|21-27	0.6721548823459454
14	0-3|0-3|6-8|9-13|15-23|13-19|21-32	0.6350893491296751
14	0-3|0-3|6-9|6-9|10-15|8-13|21-28	0.6696327144957277
14	0-3|0-3|7-12|7-12|12-16|16-19|16-21	0.6431365907997076
15	0-3|0-3|9-15|5-12|7-11|16-19|8-19	0.6194675404837484
15	0-3|0-3|6-10|3-8|7-12|13-21|7-11	0.46564731488297556
15	0-3|0-3|3-7|10-16|12-18|12-17|4-7	0.6002018847824513
15	0-3|0-3|5-13|6-14|9-22|7-11|0-5	0.6450153564472361
15	0-3|0-3|6-12|3-4|14-22|8-18|1-7	0.5893430992047137
15	0-3|0-3|9-15|3-11|7-13|17-19|10-17	0.61452960353645
15	0-3|0-3|5-9|9-16|14-22|13-17|6-12	0.6433867800533123
15	0-3|0-3|5-8|3-5|13-19|16-21|1-10	0.593377783603862
15	0-3|0-3|7-9|6-12|8-13|7-17|21-27	0.6524512450397894
15	0-3|0-3|5-15|10-15|14-23|16-26|0-1	0.17332403014446307
16	0-3|0-3|7-18|8-14|9-17|9-11|18-25	0.6952537465943647
16	0-3|0-3|6-16|9-11|14-21|16-18|21-26	0.6990254426260795
16	0-3|0-3|7-9|9-17|13-20|9-17|18-22	0.6123345487173173
16	0-3|0-3|5-13|4-8|11-16|7-12|17-23	0.724110885681363
16	0-3|0-3|6-13|7-12|9-16|16-23|10-16	0.5970172980985281
16	0-3|0-3|9-11|5-9|14-23|16-24|18-23	0.6734788697137972
16	0-3|0-3|6-10|4-11|14-19|7-10|2-13	0.6301832666893509
16	0-3|0-3|10-16|10-21|7-13|9-13|8-17	0.5853410492462766
16	0-3|0-3|7-14|3-9|7-12|11-19|4-11	0.6709487602742515
16	0-3|0-3|4-8|9-12|9-19|14-19|19-26	0.6777989448206982
17	0-3|0-3|7-10|7-15|18-23|8-14|3-9	0.6604973007015381
17	0-3|0-3|7-14|10-18|9-15|7-18|15-19	0.6177573074877079
17	0-3|0-3|7-15|3-8|7-14|16-22|21-33	0.675378164151884
17	0-3|0-3|5-12|10-16|18-28|18-27|18-30	0.6937000007060381
17	0-3|0-3|5-12|10-19|15-20|8-13|6-11	0.6650524589059895
17	0-3|0-3|6-11|7-10|14-27|9-12|18-26	0.6742197706257678
17	0-3|0-3|4-11|3-8|16-25|18-19|21-30	0.6713732531624461
17	0-3|0-3|9-15|7-10|7-11|7-11|16-24	0.6794809850702843
17	0-3|0-3|7-17|5-11|10-12|8-14|21-25	0.6814228890036599
17	0-3|0-3|7-14|9-18|7-17|9-13|11-16	0.6037338657240768
18	0-3|0-3|5-10|7-11|15-21|7-13|21-33	0.661866482808778
18	0-3|0-3|7-14|9-12|10-15|7-8|21-27	0.6703838191821633
18	0-3|0-3|5-18|10-14|9-16|14-25|21-25	0.706602672393037
18	0-3|0-3|6-10|10-14|10-14|14-17|1-7	0.5310169387132719
18	0-3|0-3|9-15|4-9|7-8|18-25|21-30	0.5350372801140157
18	0-3|0-3|6-16|7-15|7-18|7-12|7-12	0.6239110802485449
18	0-3|0-3|3-11|7-15|15-23|18-22|7-15	0.6845429984495798
18	0-3|0-3|3-11|6-7|10-16|7-9|9-15	0.581865480473595
18	0-3|0-3|7-11|5-7|9-13|10-17|21-22	0.37339602393091903
18	0-3|0-3|6-14|5-11|9-12|9-16|14-17	0.5960238779826321
19	0-3|0-3|5-11|8-13|8-16|13-23|4-11	0.6404829366083904
19	0-3|0-3|5-16|5-7|10-19|7-14|11-19	0.6465321863693471
19	0-3|0-3|5-10|6-10|14-20|14-16|19-24	0.6771424046909458
19	0-3|0-3|3-6|6-7|14-22|7-9|21-30	0.6525268816856546
19	0-3|0-3|6-13|7-9|12-19|9-13|12-16	0.6332535705254466
19	0-3|0-3|6-14|7-9|14-19|10-18|11-21	0.6275034919258288
19	0-3|0-3|5-12|8-16|14-21|7-11|2-8	0.7132931891592792
19	0-3|0-3|5-9|6-13|12-18|11-15|19-25	0.7002436729864744
19	0-3|0-3|7-13|6-10|17-28|18-24|18-23	0.691728302628194
19	0-3|0-3|9-20|7-12|7-13|16-22|18-30	0.7042072850397421
20	0-3|0-3|8-16|4-11|10-16|16-23|16-23	0.5667079843744882
20	0-3|0-3|3-15|5-9|7-11|10-16|18-20	0.6180840465148251
20	0-3|0-3|3-8|7-12|15-22|8-17|18-28	0.6745308379535588
20	0-3|0-3|8-11|8-9|13-17|18-21|18-26	0.6894735115441398
20	0-3|0-3|7-14|5-7|13-23|7-13|14-20	0.622885135810088
20	0-3|0-3|3-8|3-9|17-25|7-14|21-31	0.6585250583793036
20	0-3|0-3|3-10|9-13|17-25|13-18|19-27	0.6705490418005828
20	0-3|0-3|3-9|10-13|15-19|7-12|21-24	0.6649884126372874
20	0-3|0-3|7-12|5-9|9-22|11-21|21-27	0.6539731323722158
20	0-3|0-3|7-15|7-13|10-13|18-25|19-26	0.6859563411500049
21	0-3|0-3|3-7|7-12|7-11|7-21|22-32	0.6326190230490953
21	0-3|0-3|5-11|5-14|17-26|7-9|16-26	0.7009675283916846
21	0-3|0-3|9-14|5-13|17-23|9-16|19-23	0.7004487902761765
21	0-3|0-3|6-7|3-11|7-12|13-20|21-28	0.5441947676400719
21	0-3|0-3|9-12|8-12|11-16|7-13|21-27	0.6601536181702125
21	0-3|0-3|4-5|7-16|7-20|7-10|21-33	0.548188791756024
21	0-3|0-3|7-10|10-12|14-23|16-21|20-27	0.6542790693055841
21	0-3|0-3|7-15|7-11|10-21|7-16|21-27	0.7081757926613085
21	0-3|0-3|5-14|7-15|12-16|12-16|3-14	0.6116134869294092
21	0-3|0-3|5-11|9-13|15-17|16-25|21-33	0.6614409095660517
22	0-3|0-3|9-16|7-11|7-12|16-23|16-20	0.665758704954085
22	0-3|0-3|6-11|7-11|12-15|18-23|11-15	0.5915171519776695
22	0-3|0-3|7-11|6-13|9-19|7-17|19-28	0.6794568413303399
22	0-3|0-3|7-11|4-8|11-20|11-16|19-25	0.7005609962058548
22	0-3|0-3|4-7|3-5|13-20|13-20|11-17	0.596512309608141
22	0-3|0-3|7-10|9-11|10-14|7-15|3-12	0.530290320736341
22	0-3|0-3|7-14|10-18|17-23|16-26|18-23	0.6993937731414104
22	0-3|0-3|3-11|3-10|17-23|10-16|3-14	0.6742530980283403
22	0-3|0-3|5-13|8-16|14-22|7-12|19-28	0.6986794051653035
22	0-3|0-3|9-15|5-9|17-26|10-12|18-25	0.6862445085930367
23	0-3|0-3|7-17|6-11|17-26|7-11|19-27	0.690008698282841
23	0-3|0-3|5-16|9-10|10-17|16-25|21-29	0.7005256010863881
23	0-3|0-3|7-10|5-12|10-18|7-14|19-27	0.6963089152561475
23	0-3|0-3|7-12|6-13|14-23|7-11|17-22	0.6411615554817643
23	0-3|0-3|5-11|6-11|7-10|11-15|19-27	0.7110024913684354
23	0-3|0-3|7-15|9-15|10-19|9-16|21-32	0.6976398674791439
23	0-3|0-3|3-8|7-18|16-20|7-15|18-27	0.7169226780335747
23	0-3|0-3|9-14|6-8|14-18|9-14|16-23	0.6913756198292348
23	0-3|0-3|4-10|7-8|14-18|7-11|8-13	0.5971765767504889
23	0-3|0-3|3-13|9-15|16-27|7-12|18-28	0.7027570185425619
24	0-3|0-3|7-15|6-7|9-15|18-24|14-21	0.7008359817120825
24	0-3|0-3|5-15|6-8|9-16|9-17|14-19	0.6408870743538414
24	0-3|0-3|7-15|10-15|9-13|7-11|16-19	0.5903953149359069
24	0-3|0-3|9-17|6-15|7-11|7-12|18-21	0.6470518727201052
24	0-3|0-3|7-13|7-12|12-21|18-22|19-30	0.6864392154171505
24	0-3|0-3|8-15|10-18|9-10|7-11|13-18	0.282046809794009
24	0-3|0-3|7-15|9-13|18-22|8-12|12-19	0.687662037235341
24	0-3|0-3|5-11|9-16|10-14|8-16|3-8	0.5925346469693203
24	0-3|0-3|3-9|7-10|9-16|18-26|19-21	0.6327363143193091
24	0-3|0-3|5-12|3-9|14-21|9-13|19-24	0.6863466378332063
25	0-3|0-3|5-17|6-13|7-13|16-22|19-27	0.7105862028964579
25	0-3|0-3|7-18|7-13|14-24|16-22|18-21	0.6342231914167249
25	0-3|0-3|4-12|5-11|14-20|7-12|22-27	0.6559152062640731
25	0-3|0-3|4-11|7-15|10-21|18-23|11-23	0.6843207393748476
25	0-3|0-3|3-10|5-8|7-11|10-17|4-6	0.4516482227927617
25	0-3|0-3|7-15|7-16|9-17|10-14|14-19	0.6041986037452857
25	0-3|0-3|7-15|10-19|14-24|7-13|15-26	0.6916101022086417
25	0-3|0-3|7-14|8-14|14-22|7-9|18-28	0.6794658452134185
25	0-3|0-3|3-13|5-12|16-24|7-10|14-16	0.6724222543429205
25	0-3|0-3|9-16|10-13|14-21|9-13|21-26	0.6749645823549755
26	0-3|0-3|5-10|8-15|17-26|16-22|19-23	0.6984904179093068
26	0-3|0-3|4-8|3-6|7-13|9-13|22-32	0.6400244222440903
26	0-3|0-3|5-10|7-9|18-25|9-14|21-28	0.6759339957767918
26	0-3|0-3|9-16|7-11|17-24|8-14|19-22	0.7130343846425963
26	0-3|0-3|5-14|3-9|15-25|7-15|16-27	0.7151134301112074
26	0-3|0-3|3-14|10-16|7-17|10-16|13-25	0.6782255019353189
26	0-3|0-3|9-13|10-14|14-22|7-11|21-26	0.6592204453411658
26	0-3|0-3|7-14|6-11|9-14|9-14|16-24	0.6798743743197834
26	0-3|0-3|6-13|7-14|14-23|7-13|21-26	0.6704443384211297
26	0-3|0-3|7-17|8-11|15-21|18-21|21-30	0.6856849463408234
27	0-3|0-3|10-19|5-7|10-16|13-15|7-15	0.6110146864081986
27	0-3|0-3|7-19|6-11|18-22|18-21|16-29	0.7133649461190049
27	0-3|0-3|5-9|7-9|17-24|16-22|2-9	0.6240685889662326
27	0-3|0-3|3-9|7-9|10-19|7-11|19-28	0.7225460190887117
27	0-3|0-3|9-14|8-12|15-19|7-11|4-14	0.6492116030290195
27	0-3|0-3|5-16|10-14|12-19|18-25|16-23	0.6237434744354307
27	0-3|0-3|5-13|10-21|7-20|7-14|21-29	0.6962416979028566
27	0-3|0-3|7-10|7-9|14-20|16-20|19-27	0.6833325853618091
27	0-3|0-3|7-13|10-15|8-20|18-20|19-23	0.7123279287683408
27	0-3|0-3|5-9|4-12|18-28|10-13|18-28	0.6799637544469102
28	0-3|0-3|9-11|4-11|10-13|7-10|18-30	0.6766715144487593
28	0-3|0-3|5-16|7-13|15-20|7-13|8-13	0.6787219154128672
28	0-3|0-3|7-12|10-15|14-28|18-23|19-25	0.6722594135904734
28	0-3|0-3|4-9|10-14|17-24|9-10|16-19	0.6281371429150477
28	0-3|0-3|7-17|10-16|12-21|16-21|15-21	0.6644460962416135
28	0-3|0-3|7-10|4-9|7-12|18-23|15-20	0.5854318612237721
28	0-3|0-3|5-8|5-7|14-23|18-25|21-30	0.6536223001484606
28	0-3|0-3|3-8|7-13|8-13|7-11|19-25	0.7032927493084687
28	0-3|0-3|3-12|7-13|9-18|7-13|19-24	0.7000217033391953
28	0-3|0-3|4-14|4-6|10-18|7-9|21-25	0.6913341511677505
29	0-3|0-3|3-8|6-14|9-17|7-11|18-25	0.7252300455092363
29	0-3|0-3|6-19|7-11|16-24|18-24|18-23	0.7373087598070774
29	0-3|0-3|7-11|10-15|12-16|10-13|21-30	0.6738290662234451
29	0-3|0-3|4-14|5-6|10-15|12-17|19-28	0.7049700004406695
29	0-3|0-3|5-9|6-11|17-24|7-12|6-16	0.6318943843504672
29	0-3|0-3|6-13|9-13|10-16|10-18|19-32	0.7111640862658947
29	0-3|0-3|9-12|10-14|14-28|7-9|22-26	0.6155556060352243
29	0-3|0-3|7-13|9-15|17-28|8-12|14-20	0.6639206408769063
29	0-3|0-3|7-18|7-18|18-29|8-17|8-18	0.7130100135316149
29	0-3|0-3|5-16|8-12|18-22|16-18|10-18	0.7133387564005915
30	0-3|0-3|3-5|10-14|16-23|16-23|15-22	0.6151363982258493
30	0-3|0-3|3-9|5-13|14-23|16-24|19-23	0.6928070740928868
30	0-3|0-3|3-12|6-11|10-15|16-22|0-12	0.5861206691783795
30	0-3|0-3|3-12|10-14|7-17|7-12|19-23	0.7161994061373644
30	0-3|0-3|7-17|6-8|9-15|18-20|19-29	0.6997131507232213
30	0-3|0-3|8-15|10-18|14-19|16-21|18-23	0.691001821344085
30	0-3|0-3|5-16|3-10|10-14|16-23|7-15	0.6763875792710312
30	0-3|0-3|7-14|6-11|14-18|11-14|19-24	0.6996096370531957
30	0-3|0-3|4-11|7-14|9-22|7-14|19-27	0.6926254646805513
30	0-3|0-3|4-9|5-11|10-17|7-11|19-22	0.6651848373174181
31	0-3|0-3|5-11|10-16|10-19|16-20|19-33	0.7123050992676688
31	0-3|0-3|5-10|10-16|9-16|7-8|21-25	0.6382012880430943
31	0-3|0-3|4-7|3-8|10-19|9-12|19-25	0.7115821743208035
31	0-3|0-3|3-9|6-15|10-14|14-16|18-29	0.6933723484680524
31	0-3|0-3|7-11|5-11|17-27|18-22|21-26	0.6627872955733665
31	0-3|0-3|7-16|6-12|10-18|18-20|19-25	0.6931957713285416
31	0-3|0-3|3-11|9-14|9-16|14-19|10-16	0.6215108357105558
31	0-3|0-3|3-12|5-12|10-21|18-24|16-26	0.6984298947333244
31	0-3|0-3|3-8|7-13|18-24|7-14|18-30	0.6974411395293009
31	0-3|0-3|3-5|7-15|13-19|18-22|18-26	0.7128470249448136
32	0-3|0-3|7-15|8-12|18-28|7-13|0-7	0.6458846482668967
32	0-3|0-3|7-14|6-9|15-21|8-17|18-24	0.6877968246922871
32	0-3|0-3|3-9|7-11|7-12|16-24|15-21	0.6912587182633881
32	0-3|0-3|7-17|10-19|17-21|10-18|0-5	0.6481116580091163
32	0-3|0-3|3-13|7-15|15-22|18-23|12-22	0.742839986441351
32	0-3|0-3|7-15|10-16|14-22|8-15|19-29	0.6839684969703829
32	0-3|0-3|3-11|7-13|18-24|7-14|18-26	0.6983639371605285
32	0-3|0-3|7-20|9-14|10-16|9-14|16-20	0.6453806243542833
32	0-3|0-3|4-14|4-14|18-24|16-20|6-15	0.7191848981224767
32	0-3|0-3|3-12|5-14|12-15|12-14|19-32	0.6973732167962001
33	0-3|0-3|3-9|4-10|9-13|10-13|11-16	0.573810004911809
33	0-3|0-3|3-10|10-14|10-18|11-14|18-26	0.6961743039282798
33	0-3|0-3|5-9|5-13|17-29|16-20|20-33	0.6534794208680558
33	0-3|0-3|7-11|7-14|18-25|18-24|16-22	0.6939818799302007
33	0-3|0-3|7-16|6-12|11-13|7-11|19-28	0.7026377299822665
33	0-3|0-3|7-18|3-9|9-18|12-15|15-22	0.6499399732955029
33	0-3|0-3|4-8|6-12|14-21|9-18|19-30	0.678544399689414
33	0-3|0-3|7-14|9-16|10-16|9-13|18-24	0.690686175837529
33	0-3|0-3|3-12|6-12|14-22|10-15|10-11	0.20605972728040786
33	0-3|0-3|6-14|8-17|14-19|7-10|18-26	0.7082167197222706
34	0-3|0-3|4-10|9-11|14-24|14-17|19-23	0.6951784009515093
34	0-3|0-3|7-11|4-9|14-21|18-22|9-13	0.5747131720510797
34	0-3|0-3|4-12|10-14|7-12|7-10|11-16	0.581170599057321
34	0-3|0-3|4-15|9-18|18-27|13-18|21-29	0.69323139245515
34	0-3|0-3|3-12|8-12|14-23|7-12|21-25	0.6647401937927775
34	0-3|0-3|3-9|4-10|14-20|18-28|19-31	0.6946703287862347
34	0-3|0-3|3-8|9-15|14-19|18-22|12-23	0.582884145963791
34	0-3|0-3|5-11|5-10|10-19|8-12|19-28	0.7200428582521902
34	0-3|0-3|4-9|9-17|18-26|17-18|18-25	0.6660989304191208
34	0-3|0-3|3-11|9-14|17-28|7-10|18-23	0.6817657889853983
35	0-3|0-3|3-8|10-14|17-24|7-14|12-19	0.6913171587374207
35	0-3|0-3|7-9|5-11|18-27|7-13|19-29	0.6691934343300858
35	0-3|0-3|5-6|7-9|17-26|16-17|19-28	0.5043245886652389
35	0-3|0-3|7-12|7-9|15-21|9-14|19-28	0.6778893650630443
35	0-3|0-3|5-13|10-14|18-25|12-18|16-24	0.7216087836898862
35	0-3|0-3|5-15|6-11|16-25|8-11|19-24	0.6980187350024428
35	0-3|0-3|5-9|4-10|10-15|9-19|18-25	0.7114403520070927
35	0-3|0-3|5-9|5-12|14-21|18-25|16-24	0.684434155039322
35	0-3|0-3|4-9|5-11|12-18|7-9|21-27	0.674593268726441
